Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager
2023-02-23,East,Laptop,14,163.6,Store B,Wholesale,0,Eva,2290.4,Online,FREESHIP,0,REG100000,Cust 6583,43.34,2023-02-23,2023-02-27,Eric
2024-12-19,South,Phone,1,544.01,Store A,Retail,0,Alice,544.01,Gift Card,SAVE10,0,REG100001,Cust 2144,5.3,2024-12-19,2024-12-28,Sophie
2023-05-10,North,Desk,14,346.18,Store B,Wholesale,0.1,Alice,4361.868,Online,WINTER15,0,REG100002,Cust 5998,20.46,2023-05-10,2023-05-19,Ryan
2025-02-26,Central,Chair,18,384.82,Store A,Wholesale,0.15,Frank,5887.746,Gift Card,FREESHIP,0,REG100003,Cust 7136,27.95,2025-02-26,2025-03-02,Cameron
2023-06-24,East,Desk,18,237.76,Store C,Retail,0,Carlos,4279.68,Online,SAVE10,0,REG100004,Cust 6506,5.73,2023-06-24,2023-06-27,Eric
2024-02-20,Central,Monitor,2,385.09,Store D,Wholesale,0.15,Diana,654.653,Credit Card,,0,REG100005,Cust 3909,11.92,2024-02-20,2024-03-01,Cameron
2023-01-11,South,Chair,7,17.5,Store C,Retail,0.1,Alice,110.25,Debit Card,WINTER15,0,REG100006,Cust 7887,5.02,2023-01-11,2023-01-14,Sophie
2023-01-09,Central,Chair,3,330.22,Store C,Wholesale,0.15,Carlos,842.061,Cash,,0,REG100007,Cust 5301,48.01,2023-01-09,2023-01-11,Cameron
2024-10-16,South,Chair,3,432.04,Store D,Wholesale,0.05,Bob,1231.314,Debit Card,FREESHIP,1,REG100008,Cust 2284,42.11,2024-10-16,2024-10-18,Sophie
2025-03-05,West,Desk,5,323.28,Store D,Retail,0.1,Frank,1454.76,Gift Card,SAVE10,0,REG100009,Cust 3732,41.1,2025-03-05,2025-03-13,Wendy
2024-04-10,North,Desk,15,523.29,Store B,Wholesale,0.15,Eva,6671.9475,Debit Card,,0,REG100010,Cust 1462,12.14,2024-04-10,2024-04-17,Ryan
2024-07-12,East,Phone,19,207.35,Store D,Retail,0.1,Eva,3545.685,Gift Card,,1,REG100011,Cust 4330,44.89,2024-07-12,2024-07-18,Eric
2023-07-21,Central,Phone,1,120.53,Store B,Retail,0.05,Diana,114.5035,Cash,WINTER15,0,REG100012,Cust 2372,20.35,2023-07-21,2023-07-31,Cameron
2025-01-18,West,Tablet,1,157.83,Store A,Wholesale,0.15,Carlos,134.1555,Debit Card,,0,REG100013,Cust 4672,42.82,2025-01-18,2025-01-22,Wendy
2024-12-08,North,Desk,15,220.3,Store B,Retail,0.15,Diana,2808.825,Debit Card,,0,REG100014,Cust 4548,39.66,2024-12-08,2024-12-15,Ryan
2025-05-11,West,Chair,17,162.96,Store A,Wholesale,0.05,Eva,2631.804,Gift Card,FREESHIP,0,REG100015,Cust 7037,8.11,2025-05-11,2025-05-17,Wendy
2023-02-26,West,Laptop,19,236.11,Store D,Wholesale,0,Bob,4486.09,Online,WINTER15,0,REG100016,Cust 4975,34.11,2023-02-26,2023-03-04,Wendy
